End Date,company_name,linkedin_influenced_impressions_sends_threshold_10,linkedin_influenced_click_opens_threshold_3,account_reached,ctr_score,spm_open_rate_score,frequency_score,frequency,total_impressions,total_sends,total_clicks,total_opens,ctr,spm_open_rate,total_conversions,total_engagements,total_leads,unique_employees_reached,rank_imps
6/6/2026,Tractor Supply Company,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,1.88E+00,660,Below Reporting Threshold,6,Below Reporting Threshold,9.09E-03,Below Reporting Threshold,0,8,0,351,91
6/6/2026,TIAA,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.37E+00,657,Below Reporting Threshold,7,Below Reporting Threshold,1.07E-02,Below Reporting Threshold,0,9,0,195,92
6/6/2026,The Trade Desk,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.44E+00,653,Below Reporting Threshold,8,Below Reporting Threshold,1.23E-02,Below Reporting Threshold,0,10,0,147,93
6/6/2026,Liberty Mutual Insurance,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.70E+00,651,Below Reporting Threshold,4,Below Reporting Threshold,6.14E-03,Below Reporting Threshold,0,4,0,241,94
6/6/2026,Cummins Inc.,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.98E+00,641,Below Reporting Threshold,6,Below Reporting Threshold,9.36E-03,Below Reporting Threshold,0,7,0,215,95
6/6/2026,NielsenIQ,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.04E+00,639,Below Reporting Threshold,3,Below Reporting Threshold,4.69E-03,Below Reporting Threshold,0,3,0,210,96
6/6/2026,Montclair State University,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.35E+00,633,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,4,0,189,97
6/6/2026,Regions Bank,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.67E+00,629,Below Reporting Threshold,4,Below Reporting Threshold,6.36E-03,Below Reporting Threshold,0,5,0,236,98
6/6/2026,DIRECTV,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.91E+00,614,Below Reporting Threshold,8,Below Reporting Threshold,1.30E-02,Below Reporting Threshold,0,8,0,157,99
6/6/2026,United States Postal Service,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.45E+00,610,Below Reporting Threshold,6,Below Reporting Threshold,9.84E-03,Below Reporting Threshold,0,6,0,177,100
6/6/2026,Mass General Brigham,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.47E+00,603,Below Reporting Threshold,6,Below Reporting Threshold,9.95E-03,Below Reporting Threshold,0,15,0,174,101
6/6/2026,Leo Burnett,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,5.67E+00,601,Below Reporting Threshold,8,Below Reporting Threshold,1.33E-02,Below Reporting Threshold,0,8,0,106,102
6/6/2026,Tyson Foods,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.35E+00,593,Below Reporting Threshold,7,Below Reporting Threshold,1.18E-02,Below Reporting Threshold,0,8,0,177,103
6/6/2026,Hilton Grand Vacations,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.03E+00,581,Below Reporting Threshold,5,Below Reporting Threshold,8.61E-03,Below Reporting Threshold,0,5,0,192,104
6/6/2026,John Deere,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,2.68E+00,579,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,3,0,216,105
6/6/2026,Signet Jewelers,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.80E+00,576,Below Reporting Threshold,5,Below Reporting Threshold,8.68E-03,Below Reporting Threshold,0,5,0,206,106
6/6/2026,PUMA Group,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.16E+00,576,Below Reporting Threshold,5,Below Reporting Threshold,8.68E-03,Below Reporting Threshold,0,5,0,182,106
6/6/2026,LinkedIn,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.71E+00,575,Below Reporting Threshold,6,Below Reporting Threshold,1.04E-02,Below Reporting Threshold,0,10,0,122,108
6/6/2026,ByteDance,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.32E+00,574,Below Reporting Threshold,13,Below Reporting Threshold,2.26E-02,Below Reporting Threshold,0,17,0,173,109
6/6/2026,Xerox,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.12E+00,567,Below Reporting Threshold,8,Below Reporting Threshold,1.41E-02,Below Reporting Threshold,0,8,0,182,110
6/6/2026,TransUnion,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.38E+00,564,Below Reporting Threshold,4,Below Reporting Threshold,7.09E-03,Below Reporting Threshold,0,5,0,167,111
6/6/2026,Logitech,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.62E+00,558,Below Reporting Threshold,4,Below Reporting Threshold,7.17E-03,Below Reporting Threshold,0,4,0,154,112
6/6/2026,LHH,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.19E+00,557,Below Reporting Threshold,8,Below Reporting Threshold,1.44E-02,Below Reporting Threshold,0,12,0,133,113
6/6/2026,Meijer,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.76E+00,552,Below Reporting Threshold,6,Below Reporting Threshold,1.09E-02,Below Reporting Threshold,0,7,0,147,114
6/6/2026,Indeed,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.13E+00,547,Below Reporting Threshold,6,Below Reporting Threshold,1.10E-02,Below Reporting Threshold,0,7,0,175,115
6/6/2026,"Audacy, Inc.",Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.39E+00,545,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,2,0,161,116
6/6/2026,Infosys,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.07E+00,544,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,2,0,177,117
6/6/2026,Zoetis,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.02E+00,539,Below Reporting Threshold,3,Below Reporting Threshold,5.57E-03,Below Reporting Threshold,0,3,0,134,118
6/6/2026,Towson University,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.93E+00,535,Below Reporting Threshold,7,Below Reporting Threshold,1.31E-02,Below Reporting Threshold,0,12,0,136,119
6/6/2026,Merkle,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.61E+00,523,Below Reporting Threshold,7,Below Reporting Threshold,1.34E-02,Below Reporting Threshold,0,10,0,145,120
